,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity
80101493,Ali Wong: Baby Cobra,Ali Wong,"Stand-up & Chat Shows, Comedies, Stand-up Comedy",Jay Karas,16+ ,"Ali Wong's stand-up special delves into her sexual adventures, hoarding, the rocky road to pregnancy, and why feminism is terrible.",
80046779,Anjelah Johnson: Not Fancy,Anjelah Johnson-Reyes,"Stand-up & Chat Shows, Comedies, Stand-up Comedy",Jay Karas,7+ ,"The actress, comedian and YouTube sensation riffs on everything from nail salons and Gypsies to Mexican moms and super-sleuthing Liam Neeson.","Before stand-up, Anjelah Johnson was an NFL cheerleader for the Oakland Raiders and performed in Super Bowl XXXVII."
80097431,Jeff Foxworthy and Larry the Cable Guy: We’ve Been Thinking...,"Jeff Foxworthy, Larry the Cable Guy","Stand-up & Chat Shows, Comedies, Stand-up Comedy",Jay Karas,13+ ,Grammy-nominated comedians Jeff Foxworthy and Larry the Cable Guy bring their distinctive brand of humor to a packed crowd in Minneapolis.,
80167498,Chris Rock: Tamborine,Chris Rock,"Stand-up & Chat Shows, Comedies, Stand-up Comedy",Bo Burnham,16+ ,"Chris Rock takes the stage in Brooklyn for a comedy special filled with searing observations on fatherhood, infidelity and American politics.",
80095698,Dear White People,"Logan Browning, Brandon P. Bell, DeRon Horton","Series, American Programmes, Drama Programmes, Comedy Programmes",,16+ ,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",Series creator Justin Simien wrote and directed the Independent Spirit Award-winning film of the same name.
80233611,Hannah Gadsby: Nanette,Hannah Gadsby,"Stand-up & Chat Shows, Comedies, Stand-up Comedy","Madeleine Parry, Jon Olb",16+ ,"Australian comic Hannah Gadsby reshapes standard stand-up by pairing punchlines with personal revelations on gender, sexuality and childhood turmoil.",
70290568,Aziz Ansari: Buried Alive,Aziz Ansari,"Stand-up & Chat Shows, Comedies, Dark Comedies, Stand-up Comedy","Will Lovelace, Dylan Southern",16+ ,"""Parks and Recreation"" star Aziz Ansari takes the stage to share his unfiltered views on adulthood, babies, marriage, love and more in the modern era.","Comedian Aziz Ansari stars with Amy Poehler in the Emmy-nominated series ""Parks and Recreation."""
80059410,Hannibal Buress: Comedy Camisado,Hannibal Buress,"Stand-up & Chat Shows, Comedies, Dark Comedies, Stand-up Comedy",Lance Bangs,16+ ,"In a special packed with stealthy humor, Hannibal Buress tackles zipper etiquette, the legacy of steroids and the fallout from his Bill Cosby routine.","A favorite on the stand-up circuit, Buress also hosts a late-night show and has appeared in ""Broad City"" and ""30 Rock."""
80133554,Sarah Silverman A Speck of Dust,Sarah Silverman,"Stand-up & Chat Shows, Comedies, Dark Comedies, Stand-up Comedy",Liam Lynch,16+ ,"In her first comedy special post-health scare, Sarah Silverman shares a mix of fun facts, sad truths and yeah-she-just-went-there moments.",This special earned Silverman two Emmy nominations and a Grammy nomination for Best Comedy Album.
80178974,El Camino Christmas,"Jessica Alba, Tim Allen, Dax Shepard","Hollywood Films, Crime Films, Crime Dramas, Crime Comedies, Comedies, Dark Comedies, Dramas",David E. Talbert,16+ ,"Stuck in a liquor store during an alleged robbery, a group of strangers shares hidden truths and forms an unexpected bond on Christmas Eve.","Jessica Alba, Vincent D'Onofrio, Dax Shepard and Tim Allen star in this holiday tale of a small town gone haywire."
80081987,Girlfriend's Day,"Bob Odenkirk, Amber Tamblyn, Natasha Lyonne","Crime Films, Crime Comedies, Comedies, Dark Comedies, Independent Films, Independent Comedies",Michael Paul Stephenson,16+ ,"When he's caught up in a deadly conspiracy, an unemployed greeting card writer must create the perfect card for a new holiday to save his skin.","Star Bob Odenkirk, an Emmy and Golden Globe nominee for ""Better Call Saul,"" co-wrote this noir comedy's screenplay."
80074503,Real Rob,"Rob Schneider, Patricia Schneider, Jamie Lissow","Series, American Programmes, Comedy Programmes",,16+ ,Go inside the world of comedian and actor Rob Schneider in this comedy series that follows the ups and downs of his career and family life.,
80107084,A Futile and Stupid Gesture,"Will Forte, Domhnall Gleeson, Emmy Rossum","Hollywood Films, Comedies",David Wain,16+ ,"In a life full of triumph and failure, ""National Lampoon"" co-founder Doug Kenney built a comedy empire, molding pop culture in the 1970s.",
80200267,The Ballad of Buster Scruggs,"Liam Neeson, James Franco, Tim Blake Nelson","Hollywood Films, Westerns, Critically-acclaimed Films, Award-winning Films, Comedies, Dark Comedies, Dramas","Joel Coen, Ethan Coen",16+ ,"Ranging from absurd to profound, these Western vignettes from the Coen brothers follow the adventures of outlaws and settlers on the American frontier.","Written and directed by Joel and Ethan Coen, this anthology film won Best Screenplay at the Venice Film Festival."
80164779,The Land of Steady Habits,"Ben Mendelsohn, Edie Falco, Connie Britton","Comedies, Dark Comedies, Dramas, Dramas based on a book, Independent Dramas, Independent Films, Independent Comedies",Nicole Holofcener,16+ ,"After leaving his wife and his job to find happiness, Anders begins a clumsy, heartbreaking quest to reassemble the pieces of his fractured life.","Ben Mendelsohn, Edie Falco, Thomas Mann and Connie Britton star in this film by Nicole Holofcener (""Enough Said"")."
80212251,Welcome to the Family,"Melani Olivares, Ivan Massagué, Yolanda Ramos","Series, Spanish TV Programmes, Drama Programmes, Comedy Programmes",,16+ ,"When an evicted single mom's estranged father dies, she and his second wife cover up his death after learning they've been written out of his will.",
80126646,MeatEater,Steven Rinella,"Series, Documentary Programmes, American Programmes, Documentaries, Science & Nature Documentaries",,13+ ,"Hunter, author, cook and conservationist Steven Rinella treks into the world's most remote, beautiful regions, bringing game meat from field to table.",
80117694,Disjointed,"Kathy Bates, Aaron Moten, Tone Bell","Series, American Programmes, Comedy Programmes",,16+ ,Pot activist Ruth Whitefeather Feldman runs a medical marijuana dispensary while encouraging her loyal patients to chill out and enjoy the high life.,"Kathy Bates headlines this comedy created by Chuck Lorre (""The Big Bang Theory"") and David Javerbaum (“The Daily Show”)."
80051137,Fuller House,"Candace Cameron Bure, Jodie Sweetin, Andrea Barber","Series, American Programmes, Comedy Programmes",,7+ ,The Tanner family’s adventures continue as DJ Tanner-Fuller shares a home with her sister Stephanie and friend Kimmy who help raise her three boys.,"This update to the hit series ""Full House"" received an Emmy nomination for Outstanding Children's Program."
80095532,One Day at a Time,"Justina Machado, Rita Moreno, Todd Grinnell","Series, American Programmes, Comedy Programmes",,13+ ,"In a reimagining of the TV classic, a newly single Latina mother raises her teen daughter and tween son with the ""help"" of her old-school mom.","Norman Lear, who developed the original 1975-84 show, executive produced this reboot starring Oscar winner Rita Moreno."
80200015,W. Kamau Bell: Private School Negro,W. Kamau Bell,"Stand-up & Chat Shows, Comedies, Stand-up Comedy",Shannon Hartman,16+ ,"Comedian W. Kamau Bell muses on parenting in the Trump era, ""free speech"" dustups, woke children's TV and his fear of going off the grid.","Bell scored an Emmy and an NAACP Image Award nomination for his documentary series ""United Shades of America."""
80214478,Todd Barry: Spicy Honey,Todd Barry,"Stand-up & Chat Shows, Comedies, Stand-up Comedy",Jay Chapman,16+ ,"With bone-dry wit, stand-up comic Todd Barry dissects texting emergencies, Hitler's taste in wine, pricey soap, cheap pizza and much more.",
80158871,Judd Apatow: The Return,Judd Apatow,"Stand-up & Chat Shows, Comedies, Stand-up Comedy",Marcus Raboy,16+ ,"Judd Apatow returns to stand-up comedy after 25 years, riffing on living with three women, amusing moments from his career and much more.",
80185321,Joe Mande’s Award-Winning Comedy Special,Joe Mande,"Stand-up & Chat Shows, Comedies, Dark Comedies, Stand-up Comedy",Daniel Gray Longino,16+ ,"Stand-up comic Joe Mande aims for critical adulation with this special that covers dating shows, ""Shark Tank,"" Jewish summer camp and much more.","The multitalented Mande has appeared on ""Modern Family"" and written episodes of ""Parks and Recreation"" and ""Kroll Show."""
80117484,Lucas Brothers: On Drugs,"Keith Lucas, Kenny Lucas","Stand-up & Chat Shows, Comedies, Dark Comedies, Stand-up Comedy",Jay Chapman,16+ ,"Deadpan twin comics Keith and Kenny Lucas take the stage in Brooklyn with a set that touches on drugs, race, Deion Sanders, teachers and O.J. Simpson.",
80152625,Come Sunday,"Chiwetel Ejiofor, Martin Sheen, Danny Glover","Dramas, Biographical Dramas, Dramas based on real life, Independent Dramas, Independent Films",Joshua Marston,13+ ,A crisis of faith sets renowned fundamentalist preacher Carlton Pearson on a new spiritual path that jeopardizes everything he holds dear.,"Director Joshua Marston's drama is adapted from a true story first told on public radio's ""This American Life."""
80144803,Barry,"Devon Terrell, Anya Taylor-Joy, Jason Mitchell","Hollywood Films, Dramas, Dramas based on real life, Political Dramas, Social Issue Dramas",Vikram Gandhi,16+ ,"A young Barack Obama forges his identity while dealing with race, divergent cultures and ordinary life as a New York City college student.",
80201500,Safe,"Michael C. Hall, Amanda Abbington, Marc Warren","Series, Crime Programmes, British Programmes, Drama Programmes, Mystery Programmes",,16+ ,"After his teenage daughter goes missing, a widowed surgeon in an affluent neighborhood begins unearthing dark secrets about the people closest to him.",Golden Globe winner Michael C. Hall stars in this suspenseful series created by best-selling author Harlan Coben.
80097321,Audrie & Daisy,,"Crime Films, Crime Documentaries, Documentaries, Biographical Documentaries, Social & Cultural Documentaries","Bonni Cohen, Jon Shenk",16+ ,"In this wrenching documentary, two teens are sexually assaulted by boys they considered friends, humiliated online and harassed by their communities.",This heartbreaking documentary earned a Grand Jury Prize nomination at the 2016 Sundance Film Festival.
80041601,Lovesick,"Johnny Flynn, Antonia Thomas, Daniel Ings","Series, Romance Programmes, British Programmes, Comedy Programmes",,16+ ,"In his quest for true love, Dylan found chlamydia. Joined by friends Evie and Luke, he relives past encounters as he notifies all his former partners.",
80117554,She's Gotta Have It,"DeWanda Wise, Cleo Anthony, Lyriq Bent","Series, American Programmes, Romance Programmes, Drama Programmes, Comedy Programmes",,16+ ,Nola Darling struggles to stay true to herself and her dreams while juggling three lovers in this Spike Lee series based on his breakout film.,Oscar winner Spike Lee infuses this powerful series with musical interludes and tributes to his artistic idols.
80094728,Marcella,"Anna Friel, Nicholas Pinnock, Ray Panthaki","Series, Award-winning TV Programmes, Crime Programmes, British Programmes, Drama Programmes",,16+ ,"Despite marriage woes, a tragic loss, memory blackouts and her struggles as a mom, a London detective excels at what she does best: catching killers.",Anna Friel won an International Emmy Award for Best Actress in 2017 for her performance as DS Marcella Backland.
80158577,Pandora,"Kim Nam-gil, Kim Joo-hyun, Jung Jin-young","International Films, Korean Films, Dramas, Social Issue Dramas, Thrillers",Park Jung-woo,16+ ,"When an earthquake hits a Korean village housing a run-down nuclear power plant, a man risks his life to save the country from imminent disaster.",
80062047,Degrassi: Next Class,"Amanda Arcuri, Amir Bageria, Soma Bhatia","Series, Canadian TV Programmes, Teen Programmes, Drama Programmes",Stefan Brogren,13+ ,"Degrassi's next generation of high-tech newbies and returning students navigates real-world high school drama. If you're a teen, this is your life.",
80143362,Happy Anniversary,"Noël Wells, Ben Schwartz, Joe Pantoliano","Hollywood Films, Comedies, Romantic Comedies, Romantic Films",Jared Stern,16+ ,A quirky couple spends their three-year dating anniversary looking back at their relationship and contemplating whether they should break up.,
80218111,Catching Feelings,"Kagiso Lediga, Pearl Thusi, Akin Omotoso","International Films, Comedies, Dark Comedies, Romantic Comedies, Romantic Films",Kagiso Lediga,16+ ,"Amid growing tensions in their marriage, a Johannesburg professor and his journalist wife find their lives upended by a famous, hard-partying author.",
80171022,The Incredible Jessica James,"Jessica Williams, Chris O'Dowd, Lakeith Stanfield","Critically-acclaimed Films, Comedies, Romantic Comedies, Independent Films, Independent Comedies, Romantic Independent Films, Romantic Films, Romantic Favourites",Jim Strouse,13+ ,"Burned by a bad breakup, a struggling New York City playwright makes an unlikely connection with a divorced app designer she meets on a blind date.",
80160081,Slam,"Ludovico Tersigni, Jasmine Trinca, Luca Marinelli","International Films, Comedies, Dramas, Dramas based on a book",Andrea Molaioli,13+ ,"Teen father-to-be Sam imagines his future as a young parent and finds a surprising mentor while reading about his idol, pro skateboarder Tony Hawk.","This coming-of-age movie is based on a novel by Nick Hornby, whose ""High Fidelity"" and ""About a Boy"" also became films."
80097725,Coin Heist,"Sasha Pieterse, Alexis G. Zall, Alex Saxon","Hollywood Films, Teen Films, Heist Films, Children & Family Films, Dramas, Dramas based on a book",Emily Hagins,13+ ,"When a crisis threatens to destroy their high school, four teens hatch a daring plan to raise $10 million. Step one? Breaking into the U.S. Mint.","Star Sasha Pieterse won a Teen Choice Award for her role as Alison DiLaurentis in ""Pretty Little Liars."""
80108984,Deidra & Laney Rob a Train,"Rachel Crow, Ashleigh Murray, Sasheer Zamata","Teen Films, Critically-acclaimed Films, Crime Films, Crime Dramas, Crime Comedies, Comedies, Dramas, Independent Dramas, Independent Films, Independent Comedies",Sydney Freeland,13+ ,"With their mother in jail and bills piling up, ambitious small-town teens Deidra and Laney plot a series of train robberies to keep themselves afloat.",
80245357,Perdida,"Luisana Lopilato, Amaia Salamanca, Rafael Spregelburd","International Films, Latin American Films, Dramas, Dramas based on a book, Thrillers",Alejandro Montiel,16+ ,"A policewoman whose childhood friend disappeared in Patagonia years ago starts a new search to find answers, and soon finds her own life in danger.","Luisana Lopilato (""Rebelde Way"") and Amaia Salamanca (""Gran Hotel"") star in this adaption of Florencia Etcheves's ""Cornelia."""
80119233,Mute,"Alexander Skarsgård, Paul Rudd, Justin Theroux","Hollywood Films, Crime Films, Gangster Films, Thrillers, Crime Thrillers, Mysteries, Sci-Fi Thrillers, Sci-Fi & Fantasy, Cyberpunk",Duncan Jones,16+ ,"When his girlfriend vanishes, a mute man ventures into a near-future Berlin's seamy underworld, where his actions speak louder than words.","Alexander Skarsgård, Paul Rudd and Justin Theroux star in this futuristic thriller from director Duncan Jones (""Moon"")."
80083594,Marco Polo: One Hundred Eyes,"Tom Wu, Benedict Wong, Michelle Yeoh","Period Pieces, Series, American Programmes, Action & Adventure Programmes, Drama Programmes",Alik Sakharov,16+ ,A defiant warrior-monk arrives at Kublai Khan's court in chains and soon earns his tragic nickname in this 30-minute origin story.,
80175352,Troy: Fall of a City,"Louis Hunter, Bella Dayne, Frances O'Connor","Series, TV Programmes based on Books, Romance Programmes, British Programmes, Action & Adventure Programmes, Drama Programmes",,16+ ,"Searching for the woman promised to him by Aphrodite, herdsman Paris learns his true identity and falls for Helen of Sparta, igniting the Trojan War.","David Threlfall (Priam), Jonas Armstrong (Menelaus) and Joseph Mawle (Odysseus) can also be seen in ""Ripper Street."""
80993613,The Rise of Phoenixes,"Chen Kun, Ni Ni, Zhao Lixin","Period Pieces, Series, Chinese  Programmes, TV Programmes based on Books, Romance Programmes, Asian Programmes, Action & Adventure Programmes, Drama Programmes",,13+ ,"When a secret from the past rears its head, a respected court scholar must choose between avenging her family and staying true to the prince she loves.","Asian Film Award winner Ni Ni (""Enter the Warriors Gate""), one of China's most bankable stars, leads this period drama's cast."
80097225,Kiss Me First,"Tallulah Haddon, Simona Brown, Matthew Beard","Series, TV Programmes based on Books, Teen Programmes, Crime Programmes, British Programmes, Action & Adventure Programmes, Drama Programmes, Sci-Fi & Fantasy Programmes, Cyberpunk",,16+ ,A lonely young woman hooked on a virtual reality game befriends a party girl who leads her into a world of new thrills and dark secrets.,
80113201,Skylanders Academy,"Justin Long, Jason Ritter, Ashley Tisdale","Animation, Series, Kids’ Programmes, Comedy Programmes, TV Cartoons",,7+ ,Travel the vast Skylander universe in this animated series as a ragtag group of academy graduates build trust and heart in their fight against evil.,This animated adventure series is based on one of the 20 highest-selling video game franchises of all time.
80075595,Voltron: Legendary Defender,"Jeremy Shada, Tyler Labine, Bex Taylor-Klaus","Animation, Series, Kids’ Programmes, TV Cartoons",,7+ ,"In an all-new series, five unlikely heroes and their flying robot lions unite to form the megapowerful Voltron and defend the universe from evil.",The original series was the No. 1 syndicated children's show in the U.S. during its two-year run in the 1980s.
80095988,Stretch Armstrong & the Flex Fighters,"Scott Menville, Steven Yeun, Ogie Banks","Animation, Series, Kids’ Programmes, Superheroes, TV Cartoons",,7+ ,Jake Armstrong and his best friends are unexpectedly transformed into superheroes who learn to reach far beyond the limits of any ordinary teenager.,
80058852,Project Mc²,"Mika Abdalla, Genneya Walton, Victoria Vida","Series, Kids’ Programmes",,7+ ,Teenage spy McKeyla teams up with three other super-smart girls to become secret agents who use their science and tech skills to save the day.,"Danica McKellar, author of New York Times best-selling math books, appears as the leader of secret organization NOV8."
80245299,Ponysitters Club,"Morgan Neundorf, Madeline Leon, Khiyla Aynne","Series, Canadian TV Programmes, TV Programmes based on Books, Kids’ Programmes, Drama Programmes, Animal Tales",,7+ ,A young horse enthusiast teams up with her best friends to rescue and rehabilitate animals on her family's beloved ranch.,
80134695,Free Rein,"Jaylen Barron, Manpreet Bambra, Celine Buckens","Series, British Programmes, Kids’ Programmes, Drama Programmes, Animal Tales",,7+ ,"A 15-year-old from LA spends the summer at her mom's childhood home on an island off the coast of England, where she bonds with a mysterious horse.","Won two 2018 Daytime Emmy Awards, including Outstanding Children's or Family Viewing Series."
70300626,Ever After High,"Jonquil Goode, Karen Strassman, Audu Paden","Animation, Series, Kids’ Programmes, TV Cartoons",,All ,The kids of fairy-tale characters attend a school with two cliques: those who accept their fairy-tale destinies and those who want to write their own.,
80174285,Alexa & Katie,"Paris Berelc, Isabel May, Tiffani Thiessen","Series, Kids’ Programmes, Comedy Programmes",,7+ ,"Alexa is battling cancer. But with her best friend, Katie, by her side, she's also starting high school -- and ready for whatever comes next.",This groundbreaking series was nominated for an Emmy for Outstanding Children's Program.
80147919,The Hollow,"Adrian Petriw, Ashleigh Ball, Connor Parnall","Animation, Series, Canadian TV Programmes, Kids’ Programmes, TV Cartoons",,7+ ,"Three teens join forces to find a way home after waking up in a strange realm filled with magic portals, perplexing puzzles and vicious beasts.",This animated adventure features character design by Oscar nominee and Annie Award winner Robert Valley.
80115341,Spy Kids: Mission Critical,"Ashley Bornancin, Carter Hastings, Caitlyn Bairstow","Animation, Series, Kids’ Programmes, TV Cartoons",,7+ ,"In this animated spinoff series, Juni and Carmen Cortez must battle the evil organization S.W.A.M.P. -- without the help of their super-spy parents.",
80115346,Hilda,"Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson","Animation, Series, TV Programmes based on Comics, Kids’ Programmes, TV Cartoons",,7+ ,"Fearless, free-spirited Hilda finds new friends, adventure and magical creatures when she leaves her enchanted forest home and journeys to the city.","Bella Ramsey (""The Worst Witch"") is the voice of Hilda in this animated series based on Luke Pearson's acclaimed comics."
80179762,She-Ra and the Princesses of Power,"Aimee Carrero, AJ Michalka, Marcus Scribner","Animation, Series, Kids’ Programmes, Superheroes, TV Cartoons",,7+ ,"Soldier Adora finds a magic sword -- and her identity as legendary hero She-Ra. She joins the Rebellion, but her best friend stays with the evil Horde.",
80105933,LEGO Elves: Secrets of Elvendale,"Ashleigh Ball, Erin Mathews, Rebecca Husain","Animation, Series, Kids’ Programmes, TV Cartoons",,7+ ,"Armed with a powerful amulet, a teenage guardian is tasked with protecting her little sister -- and all of Elvendale. Based on the popular web series.",
80003196,Wakfu,"Fanny Bloc, Jules De Jongh, Patrick Béthune","Animation, Series, Kids’ Programmes, TV Cartoons",,13+ ,"Yugo, a 12-year-old Eliatrope with special powers, sets out on a mission to find his true family and uncover the mysteries of Wakfu.",
80245121,White Fang,"Nick Offerman, Rashida Jones, Paul Giamatti","Hollywood Films, Animation, Children & Family Films, Animal Tales, Dramas, Dramas based on a book",Alexandre Espigares,7+ ,A loyal wolfdog's curiosity leads him on the adventure of a lifetime while serving a series of three distinctly different masters.,"Nick Offerman, Rashida Jones and Paul Giamatti lend their voices to this animated update of Jack London's classic novel."
80180600,Kulipari: Dream Walker,"Charlie Adler, Mark Hamill, Jess Harnell","Animation, Series, TV Programmes based on Books, Kids’ Programmes, Talking-Animal Kids' TV, TV Cartoons",,7+ ,"Now the Blue Sky King, Darel must lead a rescue mission to save a Dream Walker -- leaving the village under the protection of the Kulipari youth.",
80057610,Kulipari: An Army of Frogs,"Mark Hamill, Keith David, Wendie Malick","Animation, Series, TV Programmes based on Books, Kids’ Programmes, Talking-Animal Kids' TV, TV Cartoons",,7+ ,"In a tale of bravery and heroism, fearless frogs go to war against the sinister scorpions and spiders that have teamed up to conquer the amphibians.",
80105067,Middle School: The Worst Years of My Life,"Griffin Gluck, Lauren Graham, Rob Riggle","Hollywood Films, Children & Family Films, Comedies, Wacky Comedies",Steve Carr,7+ ,"At Hills Village Middle School, budding cartoonist Rafe and best pal Leo challenge their uptight principal by breaking every rule in his handbook.",Lauren Graham plays prankster Rafe's mom in this adaptation of James Patterson's best-selling novel.
80020540,Richie Rich,"Jake Brennan, Joshua Carlon, Lauren Taylor","Series, TV Programmes based on Comics, Kids’ Programmes, Comedy Programmes",,7+ ,"After turning his veggies into green energy, Richie Rich earns a trillion dollars overnight and a new life filled with nonstop fun and adventure.",
80184379,The Who Was? Show,"Haley Tju, Adam Hochstetter, Kirrilee Berger","Series, TV Programmes based on Books, Kids’ Programmes, Education, Comedy Programmes, Education & Guidance",,7+ ,Fresh voices bring some of the most famous names in history to life. A live-action sketch comedy show based on the series of best-selling books.,"A diverse cast of teens star, with appearances by Ellie Kemper, Jane Krakowski, Andy Daly, H. Jon Benjamin and more."
80063989,Lost & Found Music Studios,"Victoria Baldesarra, Sarah Carmosino, Jordan Clark","Music & Musicals, Kids' Music, Series, Canadian TV Programmes, Kids’ Programmes, Drama Programmes",,7+ ,"Teen singers-songwriters in an elite music program form bonds of friendship, creativity and romance while turning their passion into their profession.","Trevor Tordjman, Victoria Baldesarra, Shane Harte, Levi Randall and others play their ""Next Step"" roles in this spinoff."
80223556,Prince of Peoria,"Gavin Lewis, Theodore Barnes, Shelby Simmons","Series, Kids’ Programmes, Comedy Programmes",,7+ ,A prankster prince who wants to experience life as an ordinary teen leaves his kingdom to live incognito with a single mom and her studious son.,
80142550,The Break,"Yoann Blanc, Guillaume Kerbush, Anne Coesens","Series, Belgian TV Shows, Crime Programmes, Drama Programmes, Mystery Programmes",,16+ ,"A police detective mourning a painful loss moves back to his peaceful hometown, only to be drawn into a murder case that dredges up dark secrets.",Won Best French-Language Series at the 2016 Series Mania Festival.
80208337,La Mante,"Carole Bouquet, Fred Testot, Pascal Demolon","Series, French TV Programmes, Crime Programmes, Drama Programmes, Mystery Programmes",,16+ ,"Decades after her capture, a serial killer offers to help solve a string of copycat murders -- but only if her son, now a cop, will work by her side.",
80186459,The Frozen Dead,"Charles Berling, Julia Piaton, Pascal Greggory","Series, French TV Programmes, TV Programmes based on Books, Crime Programmes, Drama Programmes",,16+ ,A grisly find atop a mountain in the French Pyrenees leads investigator Martin Servaz into a twisted dance with a serial killer in this icy thriller.,"Based on a best-selling novel by Bernard Minier, this series stars César nominees Charles Berling and Pascal Greggory."
80243728,Deadwind,"Pihla Viitala, Lauri Tilkanen, Jani Volanen","Series, Crime Programmes, Drama Programmes, Mystery Programmes",,16+ ,"Just months after a tragic loss, detective Sofia Karppi investigates the murder of a woman with ties to a Helsinki construction company.",
80145143,Bordertown,"Ville Virtanen, Matleena Kuusniemi, Anu Sinisalo","Series, Crime Programmes, Drama Programmes, Mystery Programmes",,16+ ,A gifted detective takes a job in a small town so he can spend more time with his family. But he's soon drawn into a web of disturbing murder cases.,"This moody crime series swept Finland's top TV awards, winning Best Drama, Best Actor and Best Actress."
80174617,Borderliner,"Tobias Santelmann, Ellen Dorrit Petersen, Benjamin Helstad","Series, Norwegian TV, Crime Programmes, Drama Programmes",,16+ ,"To protect his family, a police detective covers up a murder case. But when his partner suspects foul play, he is trapped in a dangerous game on duty.",
80117555,Seven Seconds,"Clare-Hope Ashitey, Regina King, Beau Knapp","Series, Award-winning TV Programmes, American Programmes, Crime Programmes, Drama Programmes",,16+ ,The death of a 15-year-old African American boy in Jersey City sets off a police cover-up and a search for the truth.,"Regina King won an Emmy for her role in this crime drama series from Veena Sud (""The Killing”)."
80988835,The Tribe,"Paco León, Carmen Machi, Luis Bermejo","International Films, Spanish Films, Comedies, Wacky Comedies",Fernando Colomo,13+ ,"An executive-turned-viral sensation loses his reputation and his memory, but finds a new life with his biological mother and her empowered dance group.",Won Best Film and Best Actress (Carmen Machi for her performance as Virginia) at the Monte-Carlo Comedy Film Festival.
80201868,The Curious Creations of Christine McConnell,"Christine McConnell, Colleen Smith, Adam Mayfield","Series, Reality, Variety & Talk Shows, American Programmes, Comedy Programmes",,13+ ,"Wickedly talented baker and artist Christine McConnell fills her home with haunting confections, creepy crafts -- and wildly inappropriate creatures.",
80146759,Tramps,"Callum Turner, Grace Van Patten, Michal Vondel","Critically-acclaimed Films, Crime Films, Independent Films, Romantic Independent Films, Romantic Films",Adam Leon,16+ ,"Pulled into a shady briefcase swap for different reasons, young strangers Danny and Ellie spend an eventful night together when the deal goes wrong.",
80194671,The Climb,"Ahmed Sylla, Alice Belaïdi, Kevin Razy","International Films, French Films, Action & Adventure, Adventures, Comedies, Romantic Comedies, Dramas, Dramas based on a book, Dramas based on real life, Romantic Dramas, Romantic Films, Romantic Films based on a book",Ludovic Bernard,13+ ,A young Senegalese-French man from humble roots sets out to climb Mount Everest to impress the woman he loves -- and slowly becomes a media sensation.,"Based on a book by Algerian-French writer Nadir Dendoune, who also set out to conquer Mount Everest with no training."
80131280,Sunday's Illness,"Bárbara Lennie, Susi Sánchez, Miguel Ángel Solá","Critically-acclaimed Films, International Films, Spanish Films, Dramas",Ramón Salazar,13+ ,"Decades after being abandoned as a young child, Chiara finds her mother and asks her to spend 10 days together in a remote location.",
80198459,Cupcake & Dino - General Services,"Justin Collette, Mark Little, Kyle Dooley","Animation, Series, Canadian TV Programmes, Kids’ Programmes, Comedy Programmes, TV Cartoons",,7+ ,An enterprising cupcake and his cheerful dinosaur brother take on jobs of all sorts as they work to help friends and strangers in their eccentric city.,
80178941,Harvey Street Kids,"Lauren Lapkus, Stephanie Lemelin, Kelly McCreary","Animation, Kids' Music, Series, TV Programmes based on Comics, Kids’ Programmes, Comedy Programmes, TV Cartoons",,7+ ,"Kids rule in a place called Harvey Street, where a trio of girls right wrongs, ice cream is always an option, and every day feels like Saturday.","It's a modern-day take on the classic comics, with quirky characters and relatable lessons."
80199682,The Christmas Chronicles,"Kurt Russell, Darby Camp, Judah Lewis","Hollywood Films, Action Comedies, Children & Family Films, Comedies",Clay Kaytis,7+ ,"After accidentally crashing Santa's sleigh, a brother and sister pull an all-nighter to save Christmas with a savvy, straight-talking St. Nick.","Kurt Russell stars in this new holiday classic from the makers of ""Harry Potter and the Sorcerer's Stone"" and ""Home Alone."""
80999063,Super Monsters Save Halloween,"Elyse Maloway, Vincent Tong, Erin Matthews","Animation, Kids' Music, Children & Family Films, Little Kids",,All ,"The Super Monsters use their powers to get their neighbors in the Halloween spirit, then help a nervous friend see there's nothing to be afraid of.",
80063705,Word Party,"Victor Yerrid, Alice Dinnean, Alon Williams","Animation, Series, Kids’ Programmes, Education, Little Kids TV, Little Kids, TV Cartoons, Education & Guidance",,All ,"Meet Bailey, Franny, Kip and Lulu. They're adorable baby animals, and they want you to join the party and help them learn!",The Jim Henson Company created this show that helps toddlers learn social skills and increase their vocabulary.
80063599,True and the Rainbow Kingdom,"Michela Luci, Jamie Watson, Anna Claire Bartlam","Animation, Kids' Music, Series, Kids’ Programmes, Talking-Animal Kids' TV, Education, Little Kids TV, Little Kids, TV Cartoons, Education & Guidance",,All ,"When something's wrong in the Rainbow Kingdom, bighearted guardian True and her best friend, Bartleby, are there to grant wishes and save the day.",
80057611,Beat Bugs,"Ashleigh Ball, Lili Beaudoin, Charles Demers","Animation, Music & Musicals, Kids' Music, Series, Kids’ Programmes, Talking-Animal Kids' TV, Education, Little Kids TV, Little Kids, TV Cartoons, Education & Guidance, Animal Tales",,All ,"With songs made famous by the Beatles, five friendly bugs learn big lessons about the world around them -- all from the safety of their own backyard.","This Emmy-winning kids' series features the talents of P!nk, Sia, Eddie Vedder, James Corden and other big-name stars."
