,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity,Production,Distributed_by
0NLOP4HKQ2D80RR9SBRT58KPPP,Lemony Snicket's Series Of Unfortunate Events (DreamWorks),"Jim Carrey, Jude Law, Liam Aiken",Kids,Brad Silberling, 7+ Older Kids,A thrilling misadventure involving three ingenious orphans and a villionous actor named Count Olaf (Jim Carrey) who wants their enormous fortune.,,,
0L8G134B0GB1WT7PWY25SSUBYR,Bridge to Terabithia,"Josh Hutcherson, AnnaSophia Robb, Robert Patrick",Kids,Gabor Csupo, 7+ Older Kids,A preteen's life is changed after befriending the new girl at school.,,Lionsgate,
0LL7XAS7TAYDB57SAMKE4DT4FD,Hugo,"Ben Kingsley, Sacha Baron Cohen, Asa Butterfield",Kids,Martin Scorsese, 7+ Older Kids,"Set in 1930s Paris, an orphan who lives in the walls of a train station is wrapped up in a mystery involving his late father and an automaton.",,,
0GM86P3P63R8OPCIPWOSC0OKDR,Forest Fairies,"Emily Wilder, Adrian Cowan, Gary Mckenzie","Fantasy, Kids",Justin G. Dyck, All Ages Kids,"When Amanda stumbles upon a hidden village of fairies in the forest, she never imagined the impression it would have on her life.  With the help of the fairies, Amanda has come up with a plan to stop a scheming land developer who is trying to trick her mother into selling the family inn with a plan of their own. Amanda's mother learns to believe in love, laughter and the wonder of fairies.",,Brain Power Studio,
0KAD6CZ860NB9UZS6YMBZMYIQQ,Operation Christmas List,"Colton Gobbo, Kyle Peacock, Jacob Soley",Kids,Justin G. Dyck, All Ages Kids,"12-year-old Barney has got a plan to beat the Christmas rush and buy the entire stock of the most sought after gift, Crabby Mousie doll ! But, after Barney and his friends sneak into the mall afterhours, things don't go exactly as planned when a gang of thieves show up with a similar idea.",,Brain Power Studio,
0OSCG8J0AJW6S9WKCJZMDFTDNE,Alvin and the Chipmunks,"Jason Lee, David Cross, Jenny Slate",Kids,Mike Mitchell, All Ages Kids,"The vacationing Chipmunks and Chipettes are turning a luxury cruise liner into their personal playground, until they become 'Chipwrecked' on a remote island. As the 'Munks and Chipettes scheme to find their way home, they accidentally discover their new turf is not as deserted as it seems.",,,
0HOLSNFJ17SIH2P9J6FM2XIYW0,Swallows & Amazons,"Rafe Spall, Andrew Scott, Kelly Macdonald","Adventure, Kids",Philippa Lowthorpe, 7+ Older Kids,Four children (The Swallows) go on a sailing adventure to an island where they encounter a rival group of kids (The Amazons).  Rivalry quickly turns to comradery when pirates threaten all they hold dear.,,Samuel Goldwyn Films,
0PHXPMFKEJCSHE44NXNX0SYQ46,Hope Springs Eternal,"Mia Rose Frampton, Stony Blyden, Juliette Angelo","Young Adult Audience, Kids, Drama",Jack C. Newell, 7+ Older Kids,"When 17 year-old Hope Gracin's life suddenly changes, she finds the world is unsympathetic and must learn to live without an expiration date.",,Samuel Goldwyn Films,
0S7XNX9V574YABV6HH3BAQC1SZ,Barbie Dreamtopia,"Erica Lindbeck, Meira Blinkoff, Addie Chandler",Kids,Saul Blinkoff, 7+ Older Kids,"With the help of her older sister, Barbie, Chelsea visits the lands of Dreamtopia where she learns valuable life lessons",,,
0TVMGDE5HW0SA0936TCKL9JOWW,An American Girl Story,,Kids,Alison McDonald, All Ages Kids,"Aspiring filmmaker, Z and Paz, a budding engineer, arrive at S.T.E.A.M. camp excited for tech heaven. When the administrator makes them explore nature and confiscates all tech, they think their summer’s doomed. Things take a mysterious turn when they meet Jordan, an enchanting “counselor” who sends them on an adventure, opening them up to a world of possibilities — like befriending Drew.",,Amazon Studios,
0J803ERGSZZJ4QE3M0AZSPN588,Super Detention,"Mercedes Morris, Nina Kiri, Tino Notarianni",Kids,Justin G. Dyke, 7+ Older Kids,"To make sure no hiccups arise during the annual visit from their Academy's namesake Kaleus, five superhero misfits are hulled off to detention.  When the assembly turns from excitement into chaos these misfits are the only ones that can stop corrupt forces from draining all the students of their powers. Will they be able to put aside their differences and come up with a plan ?",,Brain Power Studio,
0JKS4K3DXR0SK6VID4O9OAI3U1,Cloudy with a Chance of Meatballs 2,"Bill Hader, Anna Faris, James Caan",Kids,"Cody Cameron, Kris Pearn", 7+ Older Kids,"Flint Lockwood learns that his food making invention survived and is now combining food and animals to create ""foodimals!"" Flint and his friends embark on an adventurously mouth-watering mission to save the world – again!",,"Sony Pictures Animation Inc., Sony Pictures Imageworks Inc.",
0RMLZMYKAE5D8DTQ5DVAE4CNVB,Vikram Betal,,"International, Kids",Rajiv Chilakalapudi, All Ages Kids,"The story of Vikram Betaal is based on a King named Vikramaditya, who was not only famous for his courage and bravery but also for his wisdom and justice. A Sage sends King Vikramaditya on an impossible mission to get a corpse from the middle of a Jungle. The corpse is possessed by a ghost named Betal, who loves to tell stories and pose questions to King Vikram in order to test his wisdom.",,,
0KEMQGSLR8ZMB0DH3DLPK6K2XI,The LEGO® Batman Movie,"Will Arnett, Zach Galifianakis, Michael Cera",Kids,Chris McKay, 7+ Older Kids,"Bruce Wayne must not only deal with the criminals of Gotham City, but also the responsibility of raising a boy he adopted.",,Warner Bros.,
0SKPMASFPJJRRQDFXZHUMYGNVM,The Hero of Color City,"Christina Ricci, NA, NA","Kids, International",Frank Gladstone, All Ages Kids,"Ben's crayons magically come to life when he is asleep. They strive to protect their colour city from 2 monsters, King scrawl and gnat who wish to destroy their world of joy and colour. The colour yellow and her friends try to save their city, in this effort all the colours start to dry up. Will their original colour be restored? Will yellow and her friends be successful in completing the mission?",,Toonz Animation India Pvt Ltd,
0M6KIDAZ1N9ESOGFC7HMG2KOB3,Room on a Broom,"Gillian Anderson, Rob Brydon, Martin Clunes",Kids,"Jan Lachauer, Max Lang", All Ages Kids,"A half hour animated film based on the wonderful children’s picture book written by Julia Donaldson and illustrated by Axel Scheffler. ROOM ON THE BROOM is a magical tale about friendship and family from Magic Light Pictures, the producers of the hugely successful The Gruffalo and The Gruffalo’s Child.",,Signature Entertainment,
0NU99RKZBFN5FJMBZYVKGOPF75,The LEGO Ninjago Movie,"Jackie Chan, Justin Theroux, Dave Franco",Kids,"Charlie Bean, Paul Fisher, Bob Logan", 7+ Older Kids,A fierce but undisciplined team of modern-day ninjas must learn to check their egos and pull together to unleash their true power and defeat the evil warlord Garmadon.,,wb,
0KN4F0AGJR8K7A0E9YM743WPKB,The Lego Movie,"Chris Pratt, Will Ferrell, Elizabeth Banks",Kids,"Christopher Miller, Phil Lord", 7+ Older Kids,"The LEGO movie follows Emmet, who is on an epic quest to stop an evil tyrant from gluing the universe together, a journey for which he is hopelessly and hilariously underprepared.",,Warner Bros.,
0GUR47CEJ3AGNI5VDHOWLBIFIR,Alvin and the Chipmunks,"Jason Lee, David Cross, Cameron Richardson",Kids,Tim Hill, 7+ Older Kids,"Pop-singer Chipmunks Alvin, Simon and Theodore turn a songwriter's life upside-down.",,,
0KVOBF3RYBK4YV93ETRHF1QJNP,Open Season,"Martin Lawrence, Ashton Kutcher, Debra Messing",Kids,"Jill Culton, Roger Allers", 7+ Older Kids,A deer buddies up with a domesticated grizzly bear when the two animals are alone in the woods during hunting season.,,Sony Pictures Animation Inc.,
0H38RESWN1LEVP9NAS7QERAVRX,OGGY AND THE COCKROACHES,NA,"International, Kids",, All Ages Kids,"The ancestral duel between Oggy and the cockroaches, through time immemorial, is depicted in this animated comedy. The affable cat, Oggy, is constantly harassed by a gang of cockroaches, that are hell-bent on ruining everything around him. Their battle persists from the pre-historic times and continues well into the future. Will there ever be an end to it?",,Xilam Animation Studio,
0RE4FEJ7ZXO3H4233RY5DG31HQ,The Gruffalo,"Helena ""Bonham Carter"", Rob Brydon, James Corden",Kids,"Max Lang, Jakob Shuh", All Ages Kids,"A half hour animated film based on the classic picture book written by Julia Donaldson and illustrated by Axel Scheffler. A magical tale of a mouse who takes a stroll though the woods. Encountering three predators who all wish to eat him - a fox, an owl and a snake - the plucky mouse has to use his wits to survive.",,Signature Entertainment,
0LCQBT5AWBGWXSGZGO4SH6EUWN,Marmaduke,"Owen Wilson, Lee Pace, Judy Greer","Kids, Comedy",Tom Dey, 7+ Older Kids,"An all-star cast, including Owen Wilson, George Lopez, Kiefer Sutherland and Fergie, lend their voices to this doggone funny comedy starring the world's most lovable Great Dane. When Marmaduke (Wilson) moves to a new neighborhood with his family, the super-sized teenage dog soon discovers he just doesn't fit in – literally!",,,
0NPY4QUWDOKBDAOTAZW2PAYZCX,The Jungle Bunch,"Michel Mella, Emmanuel Curtil, Paul Borne",Kids,David Alaux, All Ages Kids,"Maurice, the Penguin-Tiger, is peacefully living his life with his adopted son, Junior and their friends when two Penguins arrive unexpectedly from the Antarctic ice floe. The Penguins have been guided directly to Maurice by a legend proclaiming that the “Great Tiger Warrior” will save their village from oppression by a terrifying group of Walruses.",,,
0K62KBKK9Z7FVITJ2MAL18REQQ,Andy’s Dinosaur Adventures - Season 1,"Andy Day, Kate Copeland",Kids,John Miller, All Ages Kids,Whilst working in a museum Andy finds a portal to the age of the dinosaurs.,,,
0MW3W6MWPHDJUPAL54TW6GU4X9,Snow Queen 2,"NA, NA, NA","International, Kids",Aleksey Tsitsilin, All Ages Kids,"Orm the troll, by his constant lying, creates the mirror reflection of the demon inside him, the Snow King. The Snow King gets stronger, weakening Orm and finally making him invisible. Gerda and the army of trolls come to the castle to fight the Snow King but he freezes them all. Orm needs to defeat the demon he has created in order to save his friends..but how can he, if no one can see him.",,Wizart Animation,
0MNM7HEYWVL27G4E2VFZ2XVQ2R,Mariah Carey's All I Want For Christmas Is You,"Breanna Yde, Henry Winkler, Mariah Carey","Kids, Animation, Adult Interest",Guy Vasilovich, All Ages Kids,"Based on her iconic Christmas song, this all-new movie features Mariah Carey's music and narration in a loving story about little Mariah's Christmas wish for a puppy.",,Universal Pictures,
0LY0SSGIC19RUD6G9NC2NIFP3U,True Story of Pinocchio,"Jacob Lovelace (Voice), Joseph Sheridan (Voice), Leslie Clack (Voice)",Kids,Jean-Louis Gros, All Ages Kids,"It's winter. Gepetto, the old joiner, makes a wood puppet in his workshop. Suddenly happens a strange phenomenon: the wood starts crying and moving. Gepetto can't believe it as his puppet stands up and begins to walk. It's the beginning of the epic of the most well-known puppet: Pinocchio.",,,
0LCPJB4VESS3NL3FJHFVPE5B0T,A Story of Christmas,"Paul Dobson (Voice), David Kaye (Voice), Terry Klassen (Voice)",Kids,Henri Heidsieck, All Ages Kids,"Christmas : what it is all about and where the story all began. This animated film tells the story of the birth of Jesus, the anger of king Herod, the flight into Egypt and Herod's attempt at killing Jesus. The story is seen through the eyes of a donkey and an ox who witness the birth and do what they can to protect the child.",,,
0T1RJEEZ7NWK0Q130VUYYH8SYW,My Little Pony Friendship is Magic - Season 5,"Tara Strong, Ashleigh Ball, Andrea Libman",Kids,"Jayson Thiessen, Jim Miller, James Wootton, Denny Lu", All Ages Kids,"After learning that her friends, as well as herself, are the magical Elements of Harmony, studious unicorn Twilight Sparkle is sent by her mentor, Princess Celestia, to Ponyville to study the magic of friendship with help from her friends.",,Hasbro Studios,
0S7XEJH05MBMIK43P3SR2AU7X1,Gortimer Gibbon's Life on Normal Street - Season 1,"Robyn Lively, Ashley Boettcher, Drew Justice",Kids,"Paul Hoen, Sasie Sealy, Alethea Jones, J.J. Johnson, Ryan Shiraki", All Ages Kids,"Gortimer Gibbon's Life on Normal Street follows Gortimer and his two best friends, Ranger and Mel, on magical exploits triggered by their thirst for adventure. The trio sets out to end a jinx while helping the unluckiest kid on Normal Street, solve a mystery before a spooky spirit turns them into ghost stories, find a fabled lost treasure, and outsmart fate after some advice from a fortune teller.",,Amazon Studios,
0F71GTBIG1NV2EI5PIAL6QWML1,Littlest Pet Shop - Season 01,,Kids,"Joel Dickie, Dallas Parker, Steven Garcia", All Ages Kids,"Blythe lives in the big city, right above the Littlest Pet Shop, a day-camp for all types of pets. When she discovers she can talk to the animals, it's the beginning of music-filled, zany adventures with her new four-legged friends.",,Hasbro Studios,
0MRUMYAIY5VA3TY8M2MR54V7XM,An American Girl Story - Melody 1963,"Frankie Faison, Dara Iruka, Chuck McCollum",Kids,, 7+ Older Kids,"Set in Detroit during the Civil Rights Movement, An American Girl Story - Melody 1963: Love Has to Win examines the joyful life and troubled times of an irrepressible 10-year-old African-American girl whose vivid imagination and creativity reinforce her optimism. When shocking national events threaten her sense of security, Melody must find inner strength to restore her hope for a better world.",,Amazon Studios,
0LTR0KZ63VAUWNQOO7032QYSC0,The Snowy Day,"Donielle Hansley, Laurence Fishburne, Regina King",Kids,"Jamie Badminton, Rufus Blacklock", All Ages Kids,"Based on the award-winning book by Ezra Jack Keats. Peter goes on a magical, snowy walk to his Nana's house to bring home their Christmas Eve dinner.",,Amazon Studios,
0SXIQYA2J042CDZ24LROSL82SA,Cowgirls N Angels,"Bailee Madison, James Cromwell, Alicia Witt",Kids,Timothy Armstrong, 7+ Older Kids,"Cowgirls n' Angels tells the story of Ida, a feisty and rebellious young girl, who dreams of finding her father, a rodeo rider. While searching for her dad, she connects with the Sweethearts of the Rodeo, a team of young female rodeo riders. Accepted by her new ""family,"" Ida finds a new passion that redefines her life.",,Samuel Goldwyn Films,
0H39J6NAVC8SAGFTMAYDDNRNWG,Sabrina Friends Forever,"Tina bush, Brit McKillip",Kids,Scott Heming, 7+ Older Kids,"Sabrina turns 13 and, like the rest of her family before her, goes off to Witch Academy. But Sabrina has a secret that makes her fear she'll never be accepted at school or in life: she's half-witch, half-mortal. Can Sabrina prove herself to her teachers, her classmates and herself?",,dhx_media,
0PHVZOX8M2961GTZVF6ZTGUEKR,Jamillah and Aladdin - Season 1,"Blossom Campbell, Wilson Radjou-Pujalte, Leroy Osei-Bonsu","Kids, International","Rebecca Rycroft, Catherine Cooke", All Ages Kids,"When Jamillah, a young girl who lives with her family, discovers an old magic lamp in the attic, the genie of the lamp grants her any wish that she desires. She wishes to go on an adventure, so the genie takes her to the ancient city of Baghdad, where they meet a boy named Aladdin. The trio explores the wondrous city, embarking on an amazing adventure filled with fun, danger and of course, magic.",,Toonz Animation India Pvt Ltd,
0NU8F83E9H52M4BWBLXNZA51XF,Arthur Christmas,"James McAvoy, Hugh Laurie, Bill Nighy",Kids,Sarah Smith, 7+ Older Kids,Santa's youngest son Arthur embarks on a magical adventure to deliver the final gift to a child to save Christmas.,,"Aardman Animations, Columbia Pictures, Sony Pictures Animation Inc.",
0OO1M90QXCPA5MNGYEHVT2GERL,The Jungle Book,"Emma Tate, Jimmy Hibbert, David Holt",Kids,Tapaas Chakravarti, 7+ Older Kids,"The adventures of Mowgli, a human foundling raised by Akela's wolf pack, and his best friends, fatherly bear Baloo and playful panther Bagheera. They live in the Indian jungle where many dangers lurk, such as the mighty Bengal tiger Shere Khan. The inquisitive Mowgli often gets himself into trouble and can't resist helping animals in danger or solving other problems.",,,
0JXJP9PUUO38DQEIM8C3WX02EF,Oggy and the cockroaches - Season 1,,Kids,, 7+ Older Kids,"Oggy, a rather lazy cat, is always hounded by his pest friends, Joey, Dee Dee and Marky, three mischevious cockroaches who love to annoy Oggy. No matter what Oggy tries to eat, the roaches are there to stop him with a prank. Even Jack, Oggy's best friend, is not safe from the cockroaches. The cockroaches always find creative ways to get on Oggy's nerves, and all poor Oggy wants to do is slack off.",,Xilam Animation Studio,
0O2QPTB3SWAOXV54JFSQ3BUEKF,ABC Song and Many More Nursery Rhymes for Children | Popular Kids Songs by ChuChu TV,ChuChu and Friends,"International, Kids",ChuChu TV Studios, All Ages Kids,"ABC Alphabet Song Phonics Song with TWO Words Wheels On The Bus New York City Rain, Rain, Go Away New Colour Songs Head, Shoulders, Knees and Toes - Exercise Songs Humpty Dumpty One Two Buckle My Shoulders Five Little Monkeys - Part 1 Twinkle Twinkle Little Star and more videos.",,,
0SOZ2BP2Q706KTFKBGMJKOLE0A,Krishna - Makhan Chor,,"International, Kids",Rajiv Chilakalapudi, All Ages Kids,"Krishna - Makhan Chor shows the infant Krishna growing up in Gokul under the love and care of his foster parents, Nand-Lal and Yashoda, to become the popular, mischievous but lovable 'KANHA' of Gokul.",,,
0MRVRUMCF5RQE6C0UYH7E4B0FU,The Gruffalo’s Child,"Helena Bonham Carter, Shirley Henderson, James Corden",Kids,"Johannes Weiland, Uwe Heidschötter", All Ages Kids,"A half hour animated film based on the classic children’s picture book written by Julia Donaldson and illustrated by Axel Scheffler, The Gruffalo’s Child tells the delightful tale of a little Gruffalo who ignores her father’s warnings and tiptoes out into the snow in search of the Big Bad Mouse.",,Signature Entertainment,
0J7YZZQ6YSUH4O1SUCA2U6X463,The Tales of Tatonka - Season 1,"NA, NA, NA",Kids,Olivier Lelardoux, All Ages Kids,"Under the guidance of Tatonka, the pups, Wanji, Nunpa, Yamni, and Topa, venture to explore the outside world. Watch as it's time for the salmon run and Poum trying to grab his share. Wanji and his friends escape from the ferocious Renegades Wolves. And as winter falls Wanji and his brothers along with Moose and Wahi play in the snow. What happens when an avalanche destroys their food.",,Cyber Group Studios,
0FSCQANDHUW6GQEH33HVEGPAIA,Wolverine And The X-Men - Season 1,"Steve Blum, Jim Ward, Nolan North","Kids, International","Nicholas Filippi, Steven E. Gordon, Doug Murphy, Boyd Kirkland", 7+ Older Kids,The story picks up one year after the attack on Xavier Institute that caused the disbanding of X-Men and the mysterious disappearance of Professor X and Jean Grey. Wolverine must reunite his team to find out what happened that fateful night. Their position as mutants doesn't make things any easier as the MRD (Mutant Response Division) is hunting down and exterminating them.,,Marvel Studios Productions,
0K1T40EAJEJE2FDX7CXQSYG33Z,G.I. Joe Renegades - Season 01,"Jason Marsden, Matthew Yang King, Kevin Michael Richardson",Kids,"Randy Meyers, Kevin Altieri, Scott Bern, Nathan Chew, Scooter Tidwell", 7+ Older Kids,"Branded as renegades for crimes they did not commit, a heroic group of young G.I.s is forced to ""turn fugitive"" as they battle to clear their names, and expose the evil that is Cobra Industries -- a seemingly benevolent mega-corporation covertly controlled by a rogues gallery intent on creating a New World Order.",,Hasbro,
0R5K6UM2HRRTP703GYV6ICK79A,Blazing Team - Season 01,,Kids,"Huang Jian Feng, Gu Yan Hua, Wang Hong Long, Yu Hai Ying, Hui Zheng", All Ages Kids,"Blazing Team is a new boys comedy action - adventure series from Hasbro Studios. As a mysterious 'darkness' rises, a group of heroic teens is assembled to harness the awesome mystical power of YO KWON DO, a practice that defeats evil by blending the skill of yo-yo with the martial art of Kung Fu.",,Hasbro Studios,
0RMM50W1FC4ZE22HVC7CJ82KK2,G.I. Joe Sigma Six - Season 1,"Eric Stuart, Amy Birnbaum, Scott Rayow",Kids,"Darren Dunstan, Rebecca Honig, David Fleming, Jack Taylor, Marc Thompson", 7+ Older Kids,"G.I. Joe is still fighting to prevent Cobra taking over the world. An ambush in the Arctic and the subsequent escape of Cobra Commander from prison, lead the Joes to believe something bigger is going on. After a major attack by Cobra on the G.I. Joe Team's headquarters, the Joes are forced to retaliate.",,Hasbro Studios,
0OJSG10EB0T1DVYS0A7967NVKJ,Transformers Prime Beast Hunters,"James Horan, David Sobolov",Kids,"Scooter Tidwell, Todd Watermann, Vinton Heuck", 7+ Older Kids,"A resurrected UNICRON has taken over the now-lifeless body of MEGATRON to seek vengeance on the AUTOBOTS and ultimately, the destruction of Cybertron. This formidable enemy forces an unlikely alliance between the AUTOBOTS, DECEPTICONS, PREDAKING and two new Predacons, who come together in an epic battle to help protect their newly restored planet.",,,
0M6J7G2D6FORMD22T9KWHPR308,Next Avengers - Heroes of Tomorrow,"Noah C. Crawford, Brenna O'Brien, Aidan Drummond","International, Kids","Gary Hartle, Jay Oliva", All Ages Kids,"Ultron has already defeated the Avengers and conquered most of the planet. Tony Stark secretly trains a group of children and prepare them to face Ultron. After Stark gets captured by Ultron, the children are forced to escape from their hideout. The children are now set on a journey to look for any survivors who can help them to defeat Ultron and his army.",,Marvel Animation,
0S7X9ESKJMPBGXFBMIMUV6KFBW,Hanuman The Immortal 2,"NA, NA, NA","Kids, International",Prakasan U K, All Ages Kids,"The thrilling story of Hanuman's adventures with his disciples and a little girl Bindi, who accidentally falls into the forest of Vanars, Vanarvan. Vanarvan is under attack by the demon warrior Rakasur, thousands of years after the war of Lanka. Watch the brave hearts fight for their land and their loved ones against the dark forces.",,Toonz Animation India Pvt Ltd,
